word,clue
a,used before countable or singular nouns referring to people or things that have not already been mentioned
abandon,"to leave somebody, especially somebody you are responsible for, with no intention of returning"
ability,the fact that somebody/something is able to do something
able,"to have the skill, intelligence, opportunity, etc. needed to do something"
abolish,"to officially end a law, a system or an institution"
about,a little more or less than; a little before or after
above,at or to a higher place
abroad,in or to a foreign country
absence,the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is away
absent,"not in a place because of illness, etc."
absolute,total and complete
absolutely,used to emphasize that something is completely true
absorb,"to take in a liquid, gas or other substance from the surface or space around"
abstract,"based on general ideas and not on any particular real person, thing or situation"
absurd,extremely silly; not logical and sensible
abundance,a large quantity that is more than enough
abuse,the use of something in a way that is wrong or harmful
academic,"connected with education, especially studying in schools and universities"
academy,a school or college for special training
accelerate,to happen faster or earlier; to make something happen faster or earlier
accent,"a way of pronouncing the words of a language that shows which country, area or social class a person comes from; how well somebody pronounces a particular language"
accept,"to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc."
acceptable,agreed or approved of by most people in a society
acceptance,"the act of accepting a gift, an invitation, an offer, etc."
access,the opportunity or right to use something or to see somebody/something
accessible,"that can be reached, entered, used, seen, etc."
accident,"an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage"
accidentally,by chance; in a way that was not planned
accommodate,"to provide somebody with a room or place to sleep, live or sit"
accommodation,"a place to live, work or stay in"
accompany,to travel or go somewhere with somebody/something
accomplish,to succeed in doing or completing something
accomplishment,an impressive thing that is done or achieved after a lot of work
accordance,according to a rule or the way that somebody says that something should be done
accordingly,in a way that is appropriate to what has been done or said in a particular situation
account,"an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc."
accountability,the fact of being responsible for your decisions or actions and expected to explain them when you are asked
accountable,responsible for your decisions or actions and expected to explain them when you are asked
accountant,a person whose job is to keep or check financial accounts
accumulate,to gradually get more and more of something over a period of time
accumulation,the process of gradually increasing or getting more and more of something over a period of time
accuracy,the state of being exact or correct; the ability to do something with skill and without making mistakes
accurate,correct and true in every detail
accurately,in a way that is correct and true in every detail
accusation,a statement saying that you think a person is guilty of doing something wrong or illegal; the fact of accusing somebody
accuse,to say that somebody has done something wrong or is guilty of something
accused,a person who is on trial for committing a crime
achieve,"to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time"
achievement,"a thing that somebody has done successfully, especially using their own effort and skill"
acid,that contains acid or has the essential characteristics of an acid; that has a pH of less than seven
acknowledge,to accept that something is true
acquire,"to gain something by your own efforts, ability or behaviour"
acquisition,"the act of getting something, especially knowledge, a skill, etc."
acre,a unit for measuring an area of land; 4 840 square yards or about 4 050 square metres
across,from one side to the other side
act,a particular thing that somebody does
action,the process of doing something in order to make something happen or to deal with a situation
activate,to make something such as a device or chemical process start working
activation,the act of making something such as a device or chemical process start working
active,"always busy doing things, especially physical activities"
activist,"a person who works to achieve political or social change, especially as a member of an organization with particular aims"
activity,a thing that you do for interest or pleasure
actor,"a person who performs on the stage, on television or in films, especially as a profession"
actress,"a woman who performs on the stage, on television or in films, especially as a profession"
actual,used to emphasize something that is real or exists in fact
actually,"used in speaking to emphasize a fact or a comment, or that something is really true"
acute,very serious or severe
ad,"a notice, picture or film telling people about a product, job or service"
adapt,to change your behaviour in order to deal more successfully with a new situation
adaptation,"the action or process of changing something, or of being changed, to suit a new purpose or situation"
add,"to put something together with something else so as to increase the size, number, amount, etc."
addiction,"the condition of being unable to stop using or doing something as a habit, especially something harmful"
addition,a thing that is added to something else
additional,more than was first mentioned or is usual
additionally,in a way that is more than was first mentioned or is usual
address,"details of where somebody lives or works and where letters, etc. can be sent"
adequate,"enough in quantity, or good enough in quality, for a particular purpose or need"
adequately,"in a way that is enough in quantity, or good enough in quality, for a particular purpose or need"
adhere,to stick to something
adjacent,next to something
adjust,to change something slightly to make it more suitable for a new set of conditions or to make it work better
adjustment,a small change made to something in order to correct or improve it
administer,"to manage and organize the affairs of a company, an organization, a country, etc."
administration,"the activities that are done in order to plan, organize and run a business, school or other institution"
administrative,connected with organizing the work of a business or an institution
administrator,"a person whose job is to manage and organize the public or business affairs of a company or an institution, or a person who works in an office dealing with records, accounts, etc."
admire,to respect somebody for what they have done or to respect their qualities
admission,"the act of accepting somebody into an institution, organization, etc.; the right to enter a place or to join an institution or organization"
admit,"to agree, often unwillingly, that something is true"
adolescent,a young person who is developing from a child into an adult
adopt,to take somebody else’s child into your family and become its legal parent(s)
adoption,the act of adopting a child; the fact of being adopted
adult,fully grown or developed
advance,done or given before something is going to happen
advanced,"having the most modern and recently developed ideas, methods, etc."
advantage,a thing that helps you to be better or more successful than other people
adventure,"an unusual, exciting or dangerous experience, journey or series of events"
adverse,negative and unpleasant; not likely to produce a good result
advertise,to tell the public about a product or a service in order to encourage people to buy or to use it
advertisement,"a notice, picture or film telling people about a product, job or service"
advertising,"the activity and industry of advertising things to people on television, in newspapers, on the internet, etc."
